abdomen,0
abdominal,1
abdominal pain,2
ability,3
able,4
able control,5
able eat,6
able fall,7
able fall asleep,8
able get,9
able lose,10
able quit,11
able sleep,12
able stop,13
able take,14
abnormal,15
absolute,16
absolutely,17
absolutely amazing,18
absolutely love,19
absolutely nothing,20
acanya,21
accident,22
according,23
accutane,24
accutane month,25
accutane year,26
ache,27
achieve,28
acid,29
acid reflux,30
acne,31
acne acne,32
acne almost,33
acne also,34
acne always,35
acne around,36
acne away,37
acne back,38
acne bad,39
acne breakout,40
acne came,41
acne came back,42
acne cheek,43
acne chin,44
acne clear,45
acne cleared,46
acne come,47
acne come back,48
acne completely,49
acne cream,50
acne ever,51
acne face,52
acne first,53
acne forehead,54
acne free,55
acne get,56
acne getting,57
acne gone,58
acne got,59
acne got worse,60
acne gotten,61
acne life,62
acne like,63
acne long,64
acne medication,65
acne month,66
acne much,67
acne never,68
acne nothing,69
acne prescribed,70
acne pretty,71
acne problem,72
acne really,73
acne scar,74
acne severe,75
acne since,76
acne since tried,77
acne since year,78
acne started,79
acne still,80
acne took,81
acne treatment,82
acne tried,83
acne used,84
acne week,85
acne well,86
acne went,87
acne within,88
acne worse,89
acne worst,90
acne would,91
acne year,92
acne year tried,93
across,94
act,95
acting,96
active,97
activity,98
actos,99
actual,100
actually,101
actually work,102
aczone,103
adapalene,104
add,105
added,106
addict,107
addicted,108
addiction,109
addictive,110
adding,111
addition,112
additional,113
adhd,114
adipex,115
adipex day,116
adipex month,117
adjust,118
adjusted,119
adjusting,120
adjustment,121
admit,122
adult,123
adult acne,124
adult life,125
adverse,126
advice,127
advil,128
advise,129
advised,130
affect,131
affected,132
affected area,133
affecting,134
afford,135
affordable,136
afraid,137
afrezza,138
afternoon,139
afterwards,140
age,141
agitated,142
ago,143
ago acne,144
ago already,145
ago doctor,146
ago first,147
ago lb,148
ago lost,149
ago lost lb,150
ago lost pound,151
ago prescribed,152
ago side,153
ago side effect,154
ago started,155
ago still,156
ago today,157
ago went,158
agree,159
agreed,160
ahead,161
aid,162
air,163
alarm,164
alcohol,165
alcohol withdrawal,166
alcoholic,167
alcoholism,168
alert,169
aleve,170
allergic,171
allergic reaction,172
allergy,173
alli,174
allow,175
allowed,176
allows,177
almost,178
almost completely,179
almost every,180
almost gone,181
almost immediately,182
almost month,183
almost two,184
almost week,185
almost year,186
alone,187
along,188
alot,189
already,190
already lost,191
already lost lb,192
already lost pound,193
also,194
also experienced,195
also feel,196
also felt,197
also get,198
also got,199
also help,200
also helped,201
also lost,202
also made,203
also noticed,204
also prescribed,205
also started,206
also take,207
also take metformin,208
also taking,209
also use,210
also used,211
also using,212
also work,213
alternative,214
although,215
altogether,216
always,217
amazed,218
amazing,219
amazing result,220
amazingly,221
ambien,222
ambien lunesta,223
ambien work,224
ambien worked,225
ambien year,226
amitriptyline,227
amount,228
amount food,229
amount time,230
amount weight,231
anger,232
angry,233
ankle,234
annoying,235
another,236
another lb,237
another month,238
another one,239
another pound,240
another week,241
answer,242
antabuse,243
anti,244
anti depressant,245
antibiotic,246
antidepressant,247
anxiety,248
anxiety attack,249
anxiety depression,250
anxiety insomnia,251
anxious,252
anybody,253
anymore,254
anyone,255
anyone else,256
anyone struggling,257
anything,258
anything else,259
anything like,260
anyway,261
anyways,262
anywhere,263
apart,264
app,265
apparently,266
appear,267
appeared,268
appetite,269
appetite craving,270
appetite decreased,271
appetite eat,272
appetite feel,273
appetite gone,274
appetite suppressant,275
apple,276
application,277
applied,278
apply,279
applying,280
appointment,281
approved,282
approx,283
approximately,284
april,285
aquaphor,286
area,287
arm,288
around,289
around chin,290
around day,291
around eye,292
around lb,293
around month,294
around mouth,295
around nose,296
around period,297
around pound,298
around time,299
around week,300
around year,301
arthritis,302
aside,303
ask,304
ask doctor,305
asked,306
asked doctor,307
asking,308
asleep,309
asleep hour,310
asleep night,311
asleep stay,312
asleep stay asleep,313
asleep staying,314
asleep staying asleep,315
asleep wake,316
asleep within,317
asleep within minute,318
aspect,319
associated,320
ate,321
ativan,322
atralin,323
attack,324
attempt,325
attention,326
attitude,327
aug,328
august,329
avail,330
available,331
average,332
averaging,333
avoid,334
awake,335
awake hour,336
awake night,337
aware,338
away,339
away day,340
away soon,341
away time,342
awesome,343
awful,344
awhile,345
awoke,346
baby,347
back,348
back acne,349
back asleep,350
back chest,351
back day,352
back dermatologist,353
back doctor,354
back month,355
back neck,356
back normal,357
back one,358
back pain,359
back pill,360
back sleep,361
back smoking,362
back started,363
back track,364
back week,365
back went,366
back year,367
baclofen,368
bacteria,369
bactrim,370
bad,371
bad acne,372
bad breakout,373
bad cystic,374
bad cystic acne,375
bad dream,376
bad experience,377
bad headache,378
bad side,379
bad side effect,380
bad skin,381
bad taste,382
bad thing,383
badly,384
bag,385
balance,386
balanced,387
band,388
bar,389
barely,390
based,391
basically,392
basis,393
bathroom,394
battle,395
battled,396
battling,397
bear,398
bearable,399
beat,400
beautiful,401
became,402
become,403
becomes,404
becoming,405
bed,406
bed time,407
bedtime,408
beer,409
began,410
began taking,411
began using,412
begin,413
beginning,414
begun,415
behavior,416
behind,417
belching,418
believe,419
belly,420
belsomra,421
belviq,422
belviq day,423
belviq month,424
belviq week,425
benadryl,426
beneficial,427
benefit,428
benzaclin,429
benzodiazepine,430
benzos,431
benzoyl,432
benzoyl peroxide,433
besides,434
best,435
best decision,436
best decision ever,437
best ever,438
best luck,439
best medicine,440
best part,441
best result,442
best sleep,443
best thing,444
best thing ever,445
better,446
better choice,447
better day,448
better ever,449
better month,450
better result,451
better skin,452
better sleep,453
better still,454
better year,455
beware,456
beyaz,457
beyond,458
big,459
big deal,460
big difference,461
bigger,462
biggest,463
bike,464
binge,465
binge eating,466
bipolar,467
birth,468
birth control,469
birth control pill,470
birthday,471
bit,472
bit nausea,473
bite,474
black,475
black head,476
blackhead,477
bladder,478
bleeding,479
bleeds,480
blemish,481
blessing,482
bloated,483
bloating,484
block,485
blood,486
blood glucose,487
blood pressure,488
blood sugar,489
blood sugar level,490
blood sugar reading,491
blood test,492
blood work,493
blown,494
blue,495
blurred,496
blurred vision,497
blurry,498
blurry vision,499
bmi,500
body,501
body ache,502
body get,503
body get used,504
bone,505
bontril,506
bonus,507
boob,508
book,509
boost,510
borderline,511
bored,512
born,513
bother,514
bothered,515
bothersome,516
bottle,517
bottom,518
bought,519
bout,520
bowel,521
bowel movement,522
box,523
boy,524
boyfriend,525
brain,526
brain fog,527
brand,528
brand name,529
bread,530
break,531
break out,532
breakfast,533
breaking,534
breakout,535
breakthrough,536
breast,537
breath,538
breathe,539
breathing,540
bright,541
bring,542
bringing,543
brings,544
broke,545
broken,546
brother,547
brought,548
brown,549
build,550
build tolerance,551
built,552
built tolerance,553
bump,554
bump forehead,555
bumped,556
bumpy,557
bunch,558
bupropion,559
burn,560
burned,561
burning,562
burning sensation,563
burnt,564
burp,565
burping,566
burst,567
busy,568
butt,569
buy,570
buying,571
bydureon,572
byetta,573
bypass,574
caffeine,575
cake,576
cal,577
call,578
called,579
called doctor,580
calm,581
calmed,582
caloric,583
caloric intake,584
calorie,585
calorie day,586
calorie diet,587
calorie intake,588
calorie per,589
calorie per day,590
came,591
came back,592
campral,593
cancer,594
candy,595
cant,596
capsule,597
car,598
carb,599
carb diet,600
carbs,601
card,602
cardio,603
care,604
careful,605
carry,606
case,607
cat,608
catch,609
caught,610
cause,611
caused,612
causing,613
caution,614
center,615
cerave,616
certain,617
certainly,618
cessation,619
cetaphil,620
champix,621
chance,622
change,623
change diet,624
change eating,625
change eating habit,626
change life,627
change lifestyle,628
change skin,629
changed,630
changed diet,631
changed eating,632
changed eating habit,633
changed life,634
changer,635
changing,636
chantix,637
chantix day,638
chantix first,639
chantix month,640
chantix quit,641
chantix smoked,642
chantix week,643
chantix worked,644
chapped,645
chapped lip,646
chapstick,647
charm,648
cheap,649
cheaper,650
cheat,651
check,652
checked,653
checking,654
cheek,655
cheek chin,656
cheek forehead,657
cheese,658
chemical,659
chest,660
chest back,661
chest pain,662
chew,663
chewing,664
chicken,665
child,666
chill,667
chin,668
chin area,669
chin cheek,670
chin forehead,671
chocolate,672
choice,673
cholesterol,674
choose,675
chose,676
christmas,677
chronic,678
chronic insomnia,679
chronic pain,680
cig,681
cigarette,682
cigarette day,683
cigarette since,684
cigs,685
claravis,686
class,687
clean,688
cleaning,689
cleanser,690
cleansing,691
clear,692
clear acne,693
clear face,694
clear month,695
clear skin,696
cleared,697
cleared acne,698
cleared completely,699
cleared face,700
cleared skin,701
clearer,702
clearing,703
clearing acne,704
clearly,705
clindamycin,706
clinic,707
clinique,708
clock,709
clogged,710
clogged pore,711
clonazepam,712
close,713
closed,714
clothes,715
coconut,716
codeine,717
coffee,718
coke,719
cold,720
cold turkey,721
college,722
combat,723
combination,724
combined,725
combo,726
come,727
come back,728
comfortable,729
coming,730
coming back,731
comment,732
commercial,733
committed,734
common,735
common side,736
common side effect,737
company,738
compare,739
compared,740
complain,741
complaining,742
complaint,743
complete,744
completed,745
completely,746
completely clear,747
completely cleared,748
completely gone,749
completely stopped,750
complexion,751
complication,752
compliment,753
computer,754
con,755
concentrate,756
concentration,757
concern,758
concerned,759
condition,760
confidence,761
confident,762
confused,763
confusion,764
conjunction,765
conscious,766
consider,767
considerably,768
considered,769
considering,770
consistent,771
consistently,772
constant,773
constantly,774
constipated,775
constipation,776
consuming,777
consumption,778
contact,779
content,780
continue,781
continue take,782
continue taking,783
continue use,784
continue using,785
continued,786
continues,787
continuing,788
continuously,789
contraceptive,790
contrave,791
contrave day,792
contrave first,793
contrave lost,794
contrave month,795
contrave month lost,796
contrave since,797
contrave week,798
contrave week ago,799
control,800
control acne,801
control eat,802
control pill,803
controlled,804
controlling,805
conversation,806
convinced,807
cooking,808
cool,809
copay,810
cope,811
correct,812
cost,813
cost month,814
cotton,815
cotton mouth,816
couch,817
cough,818
coughing,819
could,820
could barely,821
could eat,822
could find,823
could get,824
could hardly,825
could never,826
could see,827
could sleep,828
could stop,829
could take,830
could tell,831
count,832
counter,833
counting,834
counting calorie,835
countless,836
couple,837
couple day,838
couple hour,839
couple month,840
couple time,841
couple week,842
couple year,843
coupon,844
course,845
cover,846
